nohup: ignoring input
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
2025-06-02 11:04:28,764 - INFO - ==================================================
2025-06-02 11:04:28,764 - INFO - Training started
2025-06-02 11:04:28,764 - INFO - ==================================================
2025-06-02 11:04:28,764 - INFO - Using device: cuda
2025-06-02 11:04:28,764 - INFO - Starting training with config: {'gamma': 0.99, 'gae_lambda': 0.95, 'clip_ratio': 0.2, 'value_coef': 0.5, 'entropy_coef': 0.01, 'max_grad_norm': 0.5, 'learning_rate': 0.00025, 'ppo_epochs': 4, 'batch_size': 64, 'env_name': 'ALE/Pong-v5', 'episodes': 1000, 'save_interval': 100, 'checkpoint_dir': 'models/ppo/pong/checkpoints', 'best_model_path': 'models/ppo/pong/best_model.pth'}
2025-06-02 11:04:28,764 - INFO - Initializing PPO Agent...
2025-06-02 11:04:29,388 - INFO - PPO Agent initialized successfully
2025-06-02 11:04:29,388 - INFO - Starting training for 1000 episodes
2025-06-02 11:04:29,388 - INFO - ==================================================
/home/lab/anaconda3/envs/pong/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
2025-06-02 11:09:20,598 - INFO - Episode 25 - Total Reward: -21.0, Steps: 764
2025-06-02 11:09:31,427 - INFO - Episode 26 - Total Reward: -21.0, Steps: 905
2025-06-02 11:09:42,683 - INFO - Episode 27 - Total Reward: -21.0, Steps: 912
2025-06-02 11:09:52,704 - INFO - Episode 28 - Total Reward: -21.0, Steps: 793
2025-06-02 11:10:05,493 - INFO - Episode 29 - Total Reward: -19.0, Steps: 1032
2025-06-02 11:10:21,054 - INFO - Episode 30 - Total Reward: -17.0, Steps: 1291
2025-06-02 11:10:31,332 - INFO - Episode 31 - Total Reward: -21.0, Steps: 901
2025-06-02 11:10:44,594 - INFO - Episode 32 - Total Reward: -19.0, Steps: 1053
2025-06-02 11:10:55,226 - INFO - Episode 33 - Total Reward: -21.0, Steps: 910
2025-06-02 11:11:05,972 - INFO - Episode 34 - Total Reward: -20.0, Steps: 842
2025-06-02 11:11:15,917 - INFO - Episode 35 - Total Reward: -21.0, Steps: 811
2025-06-02 11:11:29,330 - INFO - Episode 36 - Total Reward: -19.0, Steps: 1064
2025-06-02 11:11:42,535 - INFO - Episode 37 - Total Reward: -19.0, Steps: 1056
2025-06-02 11:11:54,367 - INFO - Episode 38 - Total Reward: -21.0, Steps: 932
2025-06-02 11:12:05,358 - INFO - Episode 39 - Total Reward: -20.0, Steps: 861
2025-06-02 11:12:15,514 - INFO - Episode 40 - Total Reward: -21.0, Steps: 811
2025-06-02 11:12:26,617 - INFO - Episode 41 - Total Reward: -20.0, Steps: 938
2025-06-02 11:12:38,435 - INFO - Episode 42 - Total Reward: -21.0, Steps: 942
2025-06-02 11:12:48,987 - INFO - Episode 43 - Total Reward: -21.0, Steps: 853
2025-06-02 11:13:01,672 - INFO - Episode 44 - Total Reward: -18.0, Steps: 1169
2025-06-02 11:13:12,142 - INFO - Episode 45 - Total Reward: -21.0, Steps: 946
2025-06-02 11:13:24,046 - INFO - Episode 46 - Total Reward: -20.0, Steps: 903
2025-06-02 11:13:34,244 - INFO - Episode 47 - Total Reward: -21.0, Steps: 782
2025-06-02 11:13:44,090 - INFO - Episode 48 - Total Reward: -21.0, Steps: 850
2025-06-02 11:13:55,819 - INFO - Episode 49 - Total Reward: -20.0, Steps: 923
2025-06-02 11:14:08,643 - INFO - Episode 50 - Total Reward: -19.0, Steps: 1015
2025-06-02 11:14:20,914 - INFO - Episode 51 - Total Reward: -20.0, Steps: 987
2025-06-02 11:14:31,792 - INFO - Episode 52 - Total Reward: -21.0, Steps: 824
2025-06-02 11:14:42,234 - INFO - Episode 53 - Total Reward: -21.0, Steps: 844
2025-06-02 11:14:54,527 - INFO - Episode 54 - Total Reward: -20.0, Steps: 1016
2025-06-02 11:15:04,641 - INFO - Episode 55 - Total Reward: -21.0, Steps: 855
2025-06-02 11:15:15,026 - INFO - Episode 56 - Total Reward: -20.0, Steps: 844
2025-06-02 11:15:30,987 - INFO - Episode 57 - Total Reward: -18.0, Steps: 1198
2025-06-02 11:15:42,751 - INFO - Episode 58 - Total Reward: -20.0, Steps: 903
2025-06-02 11:15:54,513 - INFO - Episode 59 - Total Reward: -21.0, Steps: 914
2025-06-02 11:16:08,409 - INFO - Episode 60 - Total Reward: -20.0, Steps: 1095
2025-06-02 11:16:19,960 - INFO - Episode 61 - Total Reward: -21.0, Steps: 873
2025-06-02 11:16:30,790 - INFO - Episode 62 - Total Reward: -21.0, Steps: 822
2025-06-02 11:16:40,903 - INFO - Episode 63 - Total Reward: -21.0, Steps: 820
2025-06-02 11:16:54,469 - INFO - Episode 64 - Total Reward: -20.0, Steps: 1088
2025-06-02 11:17:05,140 - INFO - Episode 65 - Total Reward: -21.0, Steps: 783
2025-06-02 11:17:17,426 - INFO - Episode 66 - Total Reward: -20.0, Steps: 921
2025-06-02 11:17:28,184 - INFO - Episode 67 - Total Reward: -21.0, Steps: 840
2025-06-02 11:17:39,115 - INFO - Episode 68 - Total Reward: -21.0, Steps: 912
2025-06-02 11:17:50,021 - INFO - Episode 69 - Total Reward: -20.0, Steps: 915
2025-06-02 11:18:03,306 - INFO - Episode 70 - Total Reward: -19.0, Steps: 1090
2025-06-02 11:18:15,234 - INFO - Episode 71 - Total Reward: -19.0, Steps: 1004
2025-06-02 11:18:27,543 - INFO - Episode 72 - Total Reward: -20.0, Steps: 990
2025-06-02 11:18:38,610 - INFO - Episode 73 - Total Reward: -21.0, Steps: 856
2025-06-02 11:18:50,805 - INFO - Episode 74 - Total Reward: -20.0, Steps: 978
2025-06-02 11:19:01,351 - INFO - Episode 75 - Total Reward: -21.0, Steps: 869
2025-06-02 11:19:15,222 - INFO - Episode 76 - Total Reward: -19.0, Steps: 1221
2025-06-02 11:19:28,221 - INFO - Episode 77 - Total Reward: -21.0, Steps: 992
2025-06-02 11:19:40,556 - INFO - Episode 78 - Total Reward: -20.0, Steps: 962
2025-06-02 11:19:51,641 - INFO - Episode 79 - Total Reward: -21.0, Steps: 916
2025-06-02 11:20:01,008 - INFO - Episode 80 - Total Reward: -21.0, Steps: 764
2025-06-02 11:20:12,010 - INFO - Episode 81 - Total Reward: -21.0, Steps: 841
2025-06-02 11:20:23,731 - INFO - Episode 82 - Total Reward: -21.0, Steps: 885
2025-06-02 11:20:35,586 - INFO - Episode 83 - Total Reward: -21.0, Steps: 992
2025-06-02 11:20:46,012 - INFO - Episode 84 - Total Reward: -21.0, Steps: 794
2025-06-02 11:20:58,256 - INFO - Episode 85 - Total Reward: -20.0, Steps: 983
2025-06-02 11:21:09,015 - INFO - Episode 86 - Total Reward: -20.0, Steps: 843
2025-06-02 11:21:19,943 - INFO - Episode 87 - Total Reward: -21.0, Steps: 884
2025-06-02 11:21:34,062 - INFO - Episode 88 - Total Reward: -20.0, Steps: 1185
2025-06-02 11:21:46,496 - INFO - Episode 89 - Total Reward: -20.0, Steps: 1057
2025-06-02 11:21:58,676 - INFO - Episode 90 - Total Reward: -20.0, Steps: 956
2025-06-02 11:22:09,759 - INFO - Episode 91 - Total Reward: -20.0, Steps: 960
2025-06-02 11:22:20,648 - INFO - Episode 92 - Total Reward: -20.0, Steps: 904
2025-06-02 11:22:34,325 - INFO - Episode 93 - Total Reward: -18.0, Steps: 1018
2025-06-02 11:22:42,757 - INFO - Episode 94 - Total Reward: -21.0, Steps: 764
2025-06-02 11:22:56,371 - INFO - Episode 95 - Total Reward: -18.0, Steps: 1094
2025-06-02 11:23:06,896 - INFO - Episode 96 - Total Reward: -20.0, Steps: 978
2025-06-02 11:23:18,213 - INFO - Episode 97 - Total Reward: -20.0, Steps: 887
2025-06-02 11:23:28,374 - INFO - Episode 98 - Total Reward: -21.0, Steps: 843
2025-06-02 11:23:42,459 - INFO - Episode 99 - Total Reward: -19.0, Steps: 1128
2025-06-02 11:23:42,482 - INFO - New best model saved! Average Reward: -20.26 (over last 100 episodes)
2025-06-02 11:23:52,481 - INFO - Episode 100 - Total Reward: -21.0, Steps: 903
2025-06-02 11:23:52,504 - INFO - Checkpoint saved to models/ppo/pong/checkpoints/model_episode_100.pth
2025-06-02 11:24:03,999 - INFO - Episode 101 - Total Reward: -20.0, Steps: 921
2025-06-02 11:24:04,031 - INFO - New best model saved! Average Reward: -20.25 (over last 100 episodes)
2025-06-02 11:24:15,450 - INFO - Episode 102 - Total Reward: -21.0, Steps: 899
2025-06-02 11:24:27,027 - INFO - Episode 103 - Total Reward: -21.0, Steps: 915
2025-06-02 11:24:37,532 - INFO - Episode 104 - Total Reward: -20.0, Steps: 842
2025-06-02 11:24:50,260 - INFO - Episode 105 - Total Reward: -18.0, Steps: 1191
2025-06-02 11:24:50,290 - INFO - New best model saved! Average Reward: -20.23 (over last 100 episodes)
2025-06-02 11:25:02,493 - INFO - Episode 106 - Total Reward: -20.0, Steps: 1104
2025-06-02 11:25:13,280 - INFO - Episode 107 - Total Reward: -20.0, Steps: 962
2025-06-02 11:25:13,305 - INFO - New best model saved! Average Reward: -20.22 (over last 100 episodes)
2025-06-02 11:25:22,408 - INFO - Episode 108 - Total Reward: -21.0, Steps: 811
2025-06-02 11:25:38,087 - INFO - Episode 109 - Total Reward: -19.0, Steps: 1360
2025-06-02 11:25:38,120 - INFO - New best model saved! Average Reward: -20.20 (over last 100 episodes)
2025-06-02 11:25:49,019 - INFO - Episode 110 - Total Reward: -20.0, Steps: 989
2025-06-02 11:26:03,404 - INFO - Episode 111 - Total Reward: -20.0, Steps: 1108
2025-06-02 11:26:14,221 - INFO - Episode 112 - Total Reward: -20.0, Steps: 930
2025-06-02 11:26:14,252 - INFO - New best model saved! Average Reward: -20.19 (over last 100 episodes)
2025-06-02 11:26:24,215 - INFO - Episode 113 - Total Reward: -21.0, Steps: 852
2025-06-02 11:26:41,797 - INFO - Episode 114 - Total Reward: -17.0, Steps: 1332
2025-06-02 11:26:41,828 - INFO - New best model saved! Average Reward: -20.17 (over last 100 episodes)
2025-06-02 11:26:54,034 - INFO - Episode 115 - Total Reward: -21.0, Steps: 930
2025-06-02 11:27:06,461 - INFO - Episode 116 - Total Reward: -21.0, Steps: 932
2025-06-02 11:27:17,464 - INFO - Episode 117 - Total Reward: -20.0, Steps: 842
2025-06-02 11:27:31,041 - INFO - Episode 118 - Total Reward: -20.0, Steps: 1041
2025-06-02 11:27:41,512 - INFO - Episode 119 - Total Reward: -21.0, Steps: 813
2025-06-02 11:27:53,701 - INFO - Episode 120 - Total Reward: -20.0, Steps: 994
2025-06-02 11:27:53,732 - INFO - New best model saved! Average Reward: -20.16 (over last 100 episodes)
2025-06-02 11:28:03,527 - INFO - Episode 121 - Total Reward: -21.0, Steps: 852
2025-06-02 11:28:16,847 - INFO - Episode 122 - Total Reward: -20.0, Steps: 1111
2025-06-02 11:28:28,889 - INFO - Episode 123 - Total Reward: -21.0, Steps: 913
2025-06-02 11:28:39,481 - INFO - Episode 124 - Total Reward: -21.0, Steps: 854
2025-06-02 11:28:51,073 - INFO - Episode 125 - Total Reward: -21.0, Steps: 922
2025-06-02 11:29:01,515 - INFO - Episode 126 - Total Reward: -21.0, Steps: 783
2025-06-02 11:29:12,873 - INFO - Episode 127 - Total Reward: -21.0, Steps: 884
2025-06-02 11:29:25,481 - INFO - Episode 128 - Total Reward: -20.0, Steps: 1019
2025-06-02 11:29:36,177 - INFO - Episode 129 - Total Reward: -21.0, Steps: 854
2025-06-02 11:29:47,794 - INFO - Episode 130 - Total Reward: -20.0, Steps: 893
2025-06-02 11:29:59,809 - INFO - Episode 131 - Total Reward: -20.0, Steps: 930
2025-06-02 11:30:11,133 - INFO - Episode 132 - Total Reward: -20.0, Steps: 962
2025-06-02 11:30:24,594 - INFO - Episode 133 - Total Reward: -19.0, Steps: 1010
2025-06-02 11:30:40,118 - INFO - Episode 134 - Total Reward: -18.0, Steps: 1198
2025-06-02 11:30:51,842 - INFO - Episode 135 - Total Reward: -20.0, Steps: 904
2025-06-02 11:31:04,375 - INFO - Episode 136 - Total Reward: -21.0, Steps: 953
2025-06-02 11:31:17,635 - INFO - Episode 137 - Total Reward: -21.0, Steps: 1037
2025-06-02 11:31:29,115 - INFO - Episode 138 - Total Reward: -21.0, Steps: 904
2025-06-02 11:31:40,751 - INFO - Episode 139 - Total Reward: -20.0, Steps: 921
2025-06-02 11:31:51,715 - INFO - Episode 140 - Total Reward: -21.0, Steps: 854
2025-06-02 11:32:02,882 - INFO - Episode 141 - Total Reward: -21.0, Steps: 824
2025-06-02 11:32:46,022 - INFO - Episode 142 - Total Reward: -21.0, Steps: 870
